trad_char,trad_freq,trad_stroke_count,trad_id,trad_unicode,simpl_char,simpl_stroke_count,english,simpl_freq,flags
燕,4935,16,A02445,71D5,燕,16,"northern Hebei province",10325,[]
寸,4930,3,A01057,5BF8,寸,3,"inch",8056,[]
茂,4915,9,A03451,8302,茂,8,"verdant",4798,[]
循,4915,12,A01297,5FAA,循,12,"circulate",9768,[]
屍,4903,9,A01088,5C4D,尸,3,"corpse",13609,"['diff', 'many-to-one']"
鑽,4902,27,A04365,947D,钻,10,"drill",10064,['diff']
晃,4900,10,A01797,6643,晃,10,"shimmer",9157,[]
悄,4898,10,A01353,6084,悄,10,"quiet",15141,[]
翅,4894,10,A03233,7FC5,翅,10,"wing",6524,[]
芒,4888,7,A03429,8292,芒,6,"awn, ray",5174,[]
斜,4875,11,A01748,659C,斜,11,"slant",9264,[]
廁,4874,12,A01220,5EC1,厕,8,"toilet",2118,['diff']
溜,4869,13,A02293,6E9C,溜,13,"slip away",7935,[]
喪,4862,12,A00629,55AA,丧,8,"matters regarding the dead",15731,['diff']
盒,4860,11,A02745,76D2,盒,11,"box",6506,[]
摔,4859,14,A01651,6454,摔,14,"to fall",5035,[]
愧,4855,13,A01414,6127,愧,12,"shame",5008,[]
灑,4850,22,A02379,7051,洒,9,"sprinkle",4961,['diff']
津,4838,9,A02189,6D25,津,9,"ford",17470,[]
盈,4818,9,A02738,76C8,盈,9,"full",6142,[]
脈,4812,10,A03328,8108,脉,9,"artery",11932,['diff']
苗,4802,9,A03454,82D7,苗,8,"seedling",7946,[]
堡,4802,12,A00792,5821,堡,12,"fortress",13533,[]
刑,4795,6,A00336,5211,刑,6,"judicial punishment",26453,[]
叉,4792,3,A00469,53C9,叉,3,"fork",5299,[]
撒,4790,15,A01670,6492,撒,15,"scatter",15003,[]
纏,4784,21,A03190,7E8F,缠,13,"wind around",6675,['diff']
遵,4780,16,A04183,9075,遵,15,"obey",11935,[]
臣,4750,6,A03382,81E3,臣,6,"official",24553,[]
櫻,4749,21,A02048,6AFB,樱,15,"cherry",2572,['diff']
扮,4747,7,A01519,626E,扮,7,"makeup",7372,[]
渾,4746,12,A02273,6E3E,浑,9,"turbid",7136,['diff']
趁,4733,12,A03995,8D81,趁,12,"to take an opportunity",6154,[]
呈,4717,7,A00524,5448,呈,7,"to present",12567,[]
牢,4712,7,A02489,7262,牢,7,"jail",10454,[]
泊,4706,8,A02182,6CCA,泊,8,"to berth (a boat), to park (a car)",6695,[]
欠,4705,4,A02052,6B20,欠,4,"yawn, lack, owe",7682,[]
慎,4705,13,A01408,614E,慎,13,"prudent",9479,[]
腐,4691,14,A03344,8150,腐,14,"rot",12264,[]
倦,4691,10,A00173,5026,倦,10,"tired",4682,[]
蛇,4671,11,A03624,86C7,蛇,11,"snake",10538,[]
搜,4655,12,A01643,641C,搜,12,"search",12537,['many-to-one']
患,4650,11,A01362,60A3,患,11,"suffer",20203,[]
陶,4648,11,A04427,9676,陶,10,"pottery",11821,[]
伏,4648,6,A00096,4F0F,伏,6,"lie on one's stomach, give in",16181,[]
劣,4643,6,A00382,52A3,劣,6,"weak, inferior",8067,[]
疲,4643,10,A02669,75B2,疲,10,"fatigue",9364,[]
儲,4641,17,A00260,5132,储,12,"store",13408,['diff']
桿,4638,11,A01937,687F,杆,7,"rod",6944,"['diff', 'many-to-one']"
塑,4635,13,A00794,5851,塑,13,"sculpt",6744,[]
繫,4633,19,A03181,7E6B,系,7,"bind",190769,"['diff', 'many-to-one']"
疾,4628,10,A02666,75BE,疾,10,"illness",19402,[]
粒,4622,11,A03058,7C92,粒,11,"grain",10200,[]
渴,4610,12,A02267,6E34,渴,12,"thirst",7395,[]
璃,4600,15,A02600,7483,璃,14,"glass",8176,[]
鄧,4595,15,A04222,9127,邓,4,"a surname",11651,['diff']
歪,4592,9,A02072,6B6A,歪,9,"crooked",5251,[]
棟,4583,12,A01958,68DF,栋,9,"building",2830,['diff']
騰,4576,20,A04643,9A30,腾,13,"leap",11343,['diff']
玻,4566,9,A02561,73BB,玻,9,"glass",9447,[]
返,4554,8,A04118,8FD4,返,7,"return",15179,[]
併,4546,8,A00141,4F75,并,6,"merge",281616,"['diff', 'many-to-one']"
弊,4543,14,A01242,5F0A,弊,14,"disadvantage",4579,[]
埋,4540,10,A00773,57CB,埋,10,"bury",11246,[]
晉,4524,10,A01795,6649,晋,10,"advance",11192,['diff']
稀,4518,12,A02930,7A00,稀,12,"rare",9234,[]
鴨,4515,16,A04726,9D28,鸭,10,"duck",5932,['diff']
汗,4509,6,A02131,6C57,汗,6,"khan",14011,[]
牡,4509,7,A02490,7261,牡,7,"male",1889,[]
暢,4502,14,A01817,66A2,畅,8,"unimpeded",6012,['diff']
添,4500,11,A02222,6DFB,添,11,"increase",8460,[]
妖,4491,7,A00893,5996,妖,7,"monster",8337,[]
劑,4489,16,A00378,5291,剂,8,"dose",12821,['diff']
泛,4487,8,A02181,6CDB,泛,7,"float, general",17928,['many-to-one']
柴,4482,10,A01924,67F4,柴,10,"firewood",7276,[]
攜,4474,21,A01709,651C,携,13,"bring along",7449,['diff']
杰,4474,8,A01883,6770,杰,8,"outstanding",24796,['many-to-one']
壇,4451,16,A00819,58C7,坛,7,"altar",9049,"['diff', 'many-to-one']"
匆,4444,5,A00409,5306,匆,5,"hurried",11540,[]
喚,4432,12,A00639,559A,唤,10,"call",8657,['diff']
昆,4423,8,A01782,6606,昆,8,"older brother",9557,['many-to-one']
斥,4420,5,A01752,65A5,斥,5,"scold",8464,[]
垂,4398,9,A00764,5782,垂,8,"drop",11949,[]
萍,4392,12,A03498,840D,萍,11,"duckweed",5646,[]
催,4383,13,A00231,50AC,催,13,"to harry",6538,[]
勾,4383,4,A00406,52FE,勾,4,"hook, join, connect",6780,[]
糖,4381,16,A03070,7CD6,糖,16,"sugar",9757,['many-to-one']
櫃,4362,18,A02040,6AC3,柜,8,"closet",7101,['diff']
踩,4362,15,A04025,8E29,踩,15,"step on",3343,[]
蟻,4361,19,A03684,87FB,蚁,9,"ant",3653,['diff']
販,4357,11,A03932,8CA9,贩,8,"vend",3837,['diff']
抑,4322,7,A01522,6291,抑,7,"repress",9719,[]
虹,4300,9,A03616,8679,虹,9,"rainbow",5670,[]
坑,4295,7,A00748,5751,坑,7,"trough",5223,[]
暮,4284,15,A01819,66AE,暮,14,"dusk",2626,[]
腹,4278,13,A03352,8179,腹,13,"abdomen",11974,[]
煮,4273,12,A02418,716E,煮,12,"boil",3313,[]
襲,4261,22,A03760,8972,袭,11,"raid, inherit",21098,['diff']
仿,4259,6,A00088,4EFF,仿,6,"imitate",19870,['many-to-one']
臂,4251,17,A03371,81C2,臂,17,"arm",10542,[]
